bin,Acesta stet.,Actiniaria free stet.,Arthropoda stet.,Bonelliidae stet.,Brachyura stet.,Cancer pagurus stet.,Caridea stet.,Coral rubble,Dead D.pertusum framework,Desmophyllum pertusum,Echinoidea stet.,Echinus stet.,Fauna,Gadidae stet.,Holothuroidea stet.,Laser points,Mud,Munida stet.,No observation,Parastichopus stet.,Pisces,S3,S5,Sand,Sebastes stet.,Shellsand,Very coarse sediment with mud,flat,high confidence,medium confidence,mucus absent,mucus undeterminable,polyps extended,polyps undeterminable,steep,Asteroidea stet.,Bivalvia stet.,Exposed bedrock,G-undeterminable,Gorgonian spare,Living D.pertusum framework,Porifera massive,Porifera stet.,Primnoa stet.,S-undeterminable,S1,near-vertical,spare coral associated fauna,Anthothela grandiflora,Bedrock with sediment cover,Crinoidea stet.,Gastropoda stet.,Hydrozoa stet.,Porifera fan/funnel/stalk/cup,G3,Paragorgia stet.,VME Porifera fan/stalk/cup/funnel <10 cm,moderate,G0,Caridea spp. stet.,Serpulidae stet.,Sp-undeterminable,polyps retracted
"All(0,450]",28,19,30,15,2,3,44,9,18,29,7,12,719,1,2,360,1,2,2,1,12,5,1,1,2,8,3,7,5,17,1,53,2,50,2,8,26,21,19,55,8,11,1,21,19,4,50,13,4,29,3,1,4,40,2,8,84,1,4,1,8,2,2
"[0,50]",21,2,4,12,2,2,21,8,3,6,1,1,38,1,1,52,1,2,1,1,1,5,1,1,1,8,2,7,4,4,1,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(50,100]",7,2,1,0,0,1,1,1,15,23,0,0,16,0,1,54,0,0,0,0,4,0,0,0,0,0,1,0,0,4,0,25,0,25,1,1,26,7,2,8,8,6,1,2,19,4,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(100,150]",0,3,11,0,0,0,18,0,0,0,2,3,58,0,0,46,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,9,0,9,0,0,0,3,9,18,0,2,0,8,0,0,8,0,2,5,1,1,3,4,0,0,0,0,0,0,0,0,0
"(150,200]",0,1,9,0,0,0,0,0,0,0,0,2,95,0,0,44,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,2,0,2,0,0,1,1,0,0,0,2,0,0,6,1,0,7,1,0,1,1,1,1,8,1,0,0,0,0,0
"(200,250]",0,3,0,1,0,0,0,0,0,0,1,0,67,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,5,0,2,0,4,3,12,0,0,0,5,0,0,5,2,2,1,0,0,0,2,0,2,10,0,2,0,0,0,0
"(250,300]",0,4,1,0,0,0,4,0,0,0,1,1,174,0,0,54,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,7,1,4,0,1,0,4,4,15,0,3,0,4,0,0,9,1,0,5,0,0,0,8,1,5,13,0,2,1,2,1,2
"(300,350]",0,1,1,1,0,0,0,0,0,0,1,4,95,0,0,34,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,1,0,0,12,0,0,12,0,0,0,2,0,0
"(350,400]",0,3,3,1,0,0,0,0,0,0,1,1,162,0,0,40,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,7,0,0,4,0,0,0,11,0,0,36,0,0,0,4,1,0
"(400,450]",0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,5,0,0,0,0,0,0
