X,Y,laser_frames,width,height,datetime,videotime,lon,lat,depth,elapsed_seconds,LON2,LAT2,depth_interpolated,videotime_interpolated,xsmoothed,ysmoothed,distance_3d,distance_travelled
-577099.8616824329,897301.0247078545,[0],5.950240501638537,3.3470102821716767,2022-03-01T10:47:10Z,00:00:00,15.2792475,68.02923783,336.4,0,15.2792475,68.02923783,336.4,0,15.279255841978518,68.02926475416682,0,0
-577100.0148230351,897300.7799220647,NA,5.914079970473452,3.3266699833913163,2022-03-01T10:47:11Z,NA,NA,NA,NA,NA,15.279239915,68.02923858,338.15,1,15.279256601276956,68.0292647021429,1.7736606571990068,1.7736606571990068
-577100.1652183302,897300.5330125691,NA,5.877919439308367,3.3063296846109562,2022-03-01T10:47:12Z,00:00:02,15.27923233,68.02923933,339.9,2,15.27923233,68.02923933,339.9,2,15.279257360596576,68.02926465011603,1.773720114293202,3.5473807714922088
-577100.3149418081,897300.2842068011,NA,5.841758908143282,3.2859893858305957,2022-03-01T10:47:13Z,NA,NA,NA,NA,NA,15.27922583,68.029243915,339.25,3,15.27925811985576,68.02926459798888,0.7119139203649474,4.259294691857156
-577100.4660669605,897300.033732197,NA,5.805598376978197,3.2656490870502357,2022-03-01T10:47:14Z,00:00:04,15.27921933,68.0292485,338.6,4,15.27921933,68.0292485,338.6,4,15.279258878972913,68.02926454566423,0.7127947383120505,4.9720894301692065
-577100.6206672757,897299.7818161895,NA,5.769437845813112,3.2453087882698752,2022-03-01T10:47:15Z,NA,NA,NA,NA,NA,15.27921025,68.029248835,337.85,5,15.27925963786642,68.0292644930448,0.8061407645738476,5.778230194743054
-577100.7808162454,897299.5286862148,NA,5.733277314648027,3.2249684894895148,2022-03-01T10:47:16Z,00:00:06,15.27920117,68.02924917,337.1,6,15.27920117,68.02924917,337.1,6,15.279260396454667,68.02926444003326,0.80760292010654,6.585833114849594
-577100.9485873601,897299.2745697055,NA,5.697116783482942,3.2046281907091547,2022-03-01T10:47:17Z,NA,NA,NA,NA,NA,15.27920442,68.02925217,337.25,7,15.279261154656057,68.0292643865324,0.3394441739960279,6.925277288845622
-577101.1260541091,897299.0196940969,NA,5.660956252317857,3.1842878919287942,2022-03-01T10:47:18Z,00:00:07,15.27920767,68.02925517,337.4,8,15.27920767,68.02925517,337.4,8,15.279261912326984,68.02926433243034,0.344900018635544,7.270177307481166
-577101.3152899849,897298.7642868232,NA,5.624795721152772,3.163947593148434,2022-03-01T10:47:19Z,NA,NA,NA,NA,NA,15.279202,68.029255085,337.45,9,15.279262669075912,68.02926427755699,0.32178112459101477,7.591958432072181
-577101.5183684763,897298.508575319,[10.452719],5.588635189987687,3.1436072943680737,2022-03-01T10:47:20Z,00:00:09,15.27919633,68.029255,337.5,10,15.27919633,68.029255,337.5,10,15.279263424449294,68.02926422172773,0.33034716143983317,7.922305593512014
-577101.7373630761,897298.2527870187,NA,5.610768158738473,3.156057089290391,2022-03-01T10:47:21Z,NA,NA,NA,NA,NA,15.279200915,68.02925175,340.9,11,15.27926417799359,68.02926416475789,3.416633765755231,11.338939359267245
-577101.974347274,897297.9971493558,NA,5.63290112748926,3.1685068842127087,2022-03-01T10:47:22Z,00:00:11,15.2792055,68.0292485,344.3,12,15.2792055,68.0292485,344.3,12,15.279264929255264,68.02926410646282,3.4178227169870468,14.756762076254292
-577102.2313945617,897297.7418897655,NA,5.655034096240047,3.180956679135026,2022-03-01T10:47:23Z,NA,NA,NA,NA,NA,15.279206835,68.029247415,342.25,13,15.279265677780776,68.02926404665789,2.0817614576485126,16.838523533902805
-577102.5105784296,897297.487235682,NA,5.677167064990834,3.1934064740573436,2022-03-01T10:47:24Z,00:00:13,15.27920817,68.02924633,340.2,14,15.27920817,68.02924633,340.2,14,15.279266423116592,68.02926398515844,2.08453647948928,18.923060013392085
-577102.8139723712,897297.2334145393,NA,5.69930003374162,3.2058562689796615,2022-03-01T10:47:25Z,NA,NA,NA,NA,NA,15.27921367,68.029245165,339.54999999999995,15,15.279267164741222,68.02926392176067,0.760902790304234,19.683962803696318
-577103.1436498754,897296.980653772,NA,5.7214330024924065,3.218306063901979,2022-03-01T10:47:26Z,00:00:15,15.27921917,68.029244,338.9,16,15.27921917,68.029244,338.9,16,15.279267901861433,68.02926385618429,0.7714112147657048,20.455374018462024
-577103.5016844359,897296.729180815,NA,5.743565971243194,3.2307558588242964,2022-03-01T10:47:27Z,NA,NA,NA,NA,NA,15.27922342,68.02924491499999,339,17,15.27926863361602,68.02926378812984,0.4488066338269522,20.904180652288975
-577103.8893564432,897296.4792197531,NA,5.76569893999398,3.243205653746614,2022-03-01T10:47:28Z,00:00:19,15.27922767,68.02924583,339.1,18,15.27922767,68.02924583,339.1,18,15.279269359143798,68.02926371729781,0.4719852940143021,21.376165946303278
-577104.3047738876,897296.2309812711,NA,5.787831908744767,3.2556554486689313,2022-03-01T10:47:29Z,NA,NA,NA,NA,NA,15.279235585,68.029248665,339.5,19,15.27927007758357,68.02926364338877,0.627848705537424,22.004014651840702
-577104.7452516581,897295.9846727058,[20.01921],5.8099648774955535,3.2681052435912488,2022-03-01T10:47:30Z,00:00:20,15.2792435,68.0292515,339.9,20,15.2792435,68.0292515,339.9,20,15.279270788074156,68.02926356610328,0.6439631788374939,22.647977830678194
-577105.2081046451,897295.7405013924,NA,5.7242381644550475,3.2198839675059645,2022-03-01T10:47:31Z,NA,NA,NA,NA,NA,15.2792575,68.029253085,340.25,21,15.279271489754354,68.02926348514184,0.6295653404039854,23.27754317108218
-577105.6906477378,897295.4986746665,NA,5.6385114514145425,3.17166269142068,2022-03-01T10:47:32Z,00:00:22,15.2792715,68.02925467,340.6,22,15.2792715,68.02925467,340.6,22,15.27927218175014,68.02926340019204,0.6432946460641016,23.920837817146282
-577106.1901958245,897295.2593998645,NA,5.5527847383740365,3.1234414153353955,2022-03-01T10:47:33Z,NA,NA,NA,NA,NA,15.2792845,68.029256835,339.70000000000005,23,15.279272863136113,68.02926331088959,1.0567879265862812,24.977625743732563
-577106.7040637946,897295.0228843223,NA,5.467058025333531,3.075220139250111,2022-03-01T10:47:34Z,00:00:24,15.2792975,68.029259,338.8,24,15.2792975,68.029259,338.8,24,15.279273532974052,68.02926321685729,1.0630145306438932,26.040640274376457
-577107.2295665368,897294.7893353754,NA,5.381331312293025,3.0269988631648266,2022-03-01T10:47:35Z,NA,NA,NA,NA,NA,15.279308585,68.029262335,338.45000000000005,25,15.279274190325715,68.0292631177179,0.6732000020311741,26.71384027640763
-577107.7640189393,897294.5589603594,NA,5.29560459925252,2.9787775870795423,2022-03-01T10:47:36Z,00:00:26,15.27931967,68.02926567,338.1,26,15.27931967,68.02926567,338.1,26,15.27927483425288,68.02926301309421,0.6791259224397984,27.39296619884743
-577108.3047358908,897294.3319666106,NA,5.209877886212014,2.9305563109942576,2022-03-01T10:47:37Z,NA,NA,NA,NA,NA,15.2793245,68.02926692,338.1,27,15.279275463817305,68.02926290260892,0.5864307151002988,27.979396913947728
-577108.8490322791,897294.1085614648,NA,5.124151173171508,2.882335034908974,2022-03-01T10:47:38Z,00:00:28,15.27932933,68.02926817,338.1,28,15.27932933,68.02926817,338.1,28,15.27927607808076,68.02926278588487,0.5883607885213189,28.567757702469045
-577109.3942229925,897293.8889522568,NA,5.038424460131003,2.8341137588236887,2022-03-01T10:47:39Z,NA,NA,NA,NA,NA,15.27933383,68.02926941999999,338,29,15.279276676166813,68.02926266255054,0.5962056006160836,29.16396330308513
-577109.9376229176,897293.6733463227,[30.361323],4.952697747090497,2.7858924827384044,2022-03-01T10:47:40Z,00:00:30,15.27933833,68.02927067,337.9,30,15.27933833,68.02927067,337.9,30,15.279277257446228,68.02926253225752,0.5931015068276357,29.757064809912766
-577110.476546943,897293.4619509982,NA,4.980506452583053,2.8015348795779675,2022-03-01T10:47:41Z,NA,NA,NA,NA,NA,15.27933825,68.02927017,339.45,31,15.279277821351574,68.0292623946631,1.6545776163019483,31.411642426214716
-577111.008309955,897293.2549736189,NA,5.00831515807561,2.8171772764175302,2022-03-01T10:47:42Z,00:00:32,15.27933817,68.02926967,341,32,15.27933817,68.02926967,341,32,15.279278367315412,68.0292622494246,1.651699590277214,33.06334201649193
