video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes
33477,322,"Laser points","Laser points",1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[545.89,611.42]]",[0],33486,"2025-03-07 08:43:17","{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}"
33478,322,"Laser points","Laser points",1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[590.76,590]]",[0],33487,"2025-03-07 08:43:20","{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}"
33479,359,flat,"Slope category > flat",1,Birte,Schuppe,54,anevik_1_12_b.mp4,7,WholeFrame,[],[0],33488,"2025-03-07 08:43:27","{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}"
33480,319,Mud,"Substrate > Mud",1,Birte,Schuppe,54,anevik_1_12_b.mp4,7,WholeFrame,[],[0],33489,"2025-03-07 08:43:41","{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}"
33481,482,"Isidella stet.","VME gorgonian corals > Isidella stet.",1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[574.02,971.69]]",[0],33490,"2025-03-07 08:43:51","{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}"
33482,469,"mucus undeterminable","VME species mucus production > mucus undeterminable",1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[565.98,999.15]]",[0],33491,"2025-03-07 08:43:57","{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}"
33483,468,"polyps undeterminable","VME coral species polyp behaviour > polyps undeterminable",1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[548.57,969.68]]",[0],33492,"2025-03-07 08:44:02","{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}"
33484,565,G-undeterminable,"Health indicators Gorgonians > G-undeterminable",1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[586.07,954.95]]",[0],33493,"2025-03-07 08:44:08","{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}"
33488,568,"Crustacea stet.","Fauna > Crustacea stet.",1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[1400.36,1058.14]]",[0],33497,"2025-03-07 08:45:21","{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}"
33490,482,"Isidella stet.","VME gorgonian corals > Isidella stet.",1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[1719.78,521.09]]",[0],33499,"2025-03-07 08:49:59","{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}"
