video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes,frame_new
21786,322,Laser points,Laser points,1,Birte,Schuppe,51,anevik_2_8.mp4,1,Point,"[[768.88,780.37]]",[0],21795,2025-01-30T09:15:44Z,"{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}",0
21787,322,Laser points,Laser points,1,Birte,Schuppe,51,anevik_2_8.mp4,1,Point,"[[794.33,759.62]]",[0],21796,2025-01-30T09:15:47Z,"{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}",0
21788,319,Mud,Substrate > Mud,1,Birte,Schuppe,51,anevik_2_8.mp4,7,WholeFrame,[],[0],21797,2025-01-30T09:15:57Z,"{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}",0
21789,359,flat,Slope category > flat,1,Birte,Schuppe,51,anevik_2_8.mp4,7,WholeFrame,[],[0],21798,2025-01-30T09:16:12Z,"{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}",0
21790,322,Laser points,Laser points,1,Birte,Schuppe,51,anevik_2_8.mp4,1,Point,"[[747.46,731.49]]",[10.342364],21799,2025-01-30T09:17:46Z,"{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}",10.342364
21791,322,Laser points,Laser points,1,Birte,Schuppe,51,anevik_2_8.mp4,1,Point,"[[782.28,716.09]]",[10.342364],21800,2025-01-30T09:17:47Z,"{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}",10.342364
21792,723,Gadidae stet.,Fauna > Pisces > Gadidae stet.,1,Birte,Schuppe,51,anevik_2_8.mp4,1,Point,"[[1433.17,1038.86]]",[11.547747],21801,2025-01-30T09:18:37Z,"{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}",11.547747
21793,723,Gadidae stet.,Fauna > Pisces > Gadidae stet.,1,Birte,Schuppe,51,anevik_2_8.mp4,1,Point,"[[840.54,1060.96]]",[12.956368],21802,2025-01-30T09:19:10Z,"{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}",12.956368
21794,723,Gadidae stet.,Fauna > Pisces > Gadidae stet.,1,Birte,Schuppe,51,anevik_2_8.mp4,1,Point,"[[1095,1032.83]]",[12.956368],21803,2025-01-30T09:19:11Z,"{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}",12.956368
21795,697,Octocorallia - Gorgonacea stet.,VME gorgonian corals > Octocorallia - Gorgonacea stet.,1,Birte,Schuppe,51,anevik_2_8.mp4,1,Point,"[[1119.11,911.62]]",[12.956368],21804,2025-01-30T09:19:23Z,"{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}",12.956368
