X,Y,time,X4,X5,X6,X7,X8,X9,sec_in_video,time_in_video
517499.55,7052706.35,13:25:58,259.7,26.1,285.8,88,-1,23,0S,00:00:00
517499.31,7052706.35,13:26:00,259.7,24.5,284.2,88,-1,23,2S,00:00:02
517498.96,7052706.53,13:26:01,259.7,26.5,286.2,88,-1,23,3S,00:00:03
517498.87,7052706.57,13:26:04,259.7,27.2,286.9,88,-1,23,6S,00:00:06
517498.77,7052706.74,13:26:06,259.7,0.2,259.9,88,-1,23,8S,00:00:08
517499.07,7052707.03,13:26:08,259.7,25.7,285.4,88,-1,23,10S,00:00:10
517499.02,7052707.07,13:26:10,259.7,24.3,284,88,-1,23,12S,00:00:12
517499.19,7052707.15,13:26:11,259.8,0.2,260,88,-1,23,13S,00:00:13
517499.4,7052707.46,13:26:14,259.7,0.2,259.9,87,0,17,16S,00:00:16
517499.37,7052708.01,13:26:16,259.5,0.4,259.9,88,0,2,18S,00:00:18
517499.18,7052707.77,13:26:18,259.2,0.7,259.9,93,5,-6,20S,00:00:20
517499.61,7052707.59,13:26:19,259.1,0.9,260,89,1,-3,21S,00:00:21
517500.23,7052707.72,13:26:23,258.9,0.9,259.8,92,-7,3,25S,00:00:25
517500.7,7052707.39,13:26:25,258.8,0.6,259.4,90,2,1,27S,00:00:27
517500.7,7052707.4,13:26:27,258.6,0.6,259.2,83,0,5,29S,00:00:29
517501.34,7052707.03,13:26:31,258.6,0.8,259.4,77,-7,-2,33S,00:00:33
517500.86,7052707.53,13:26:33,258.7,0.7,259.4,79,3,-3,35S,00:00:35
517501.45,7052707.63,13:26:35,258.7,0.7,259.4,78,1,-1,37S,00:00:37
517501.21,7052707.95,13:26:37,258.6,0.8,259.4,78,2,-3,39S,00:00:39
517501.09,7052708.23,13:26:40,258.7,1,259.7,94,4,-4,42S,00:00:42
517500.55,7052708.72,13:26:42,258.8,0.8,259.6,92,5,-3,44S,00:00:44
517500.75,7052708.22,13:26:44,258.8,0.8,259.6,93,2,0,46S,00:00:46
517501.69,7052708.06,13:26:48,258.8,0.9,259.7,93,4,-3,50S,00:00:50
517501.89,7052708.19,13:26:50,258.7,0.8,259.5,93,4,-5,52S,00:00:52
