id,datetime,depth,heading,lon,lat,videotime
1,07/01/2021 09:31:07,324.8,174,5.27135717,8.001629,00:00:04
2,07/01/2021 09:31:09,324.9,164,5.27135883,8.0016285,00:00:06
3,07/01/2021 09:31:11,325.2,164,5.27136583,8.00162833,00:00:07
4,07/01/2021 09:31:13,325.8,183,5.2713705,8.00162683,00:00:09
5,07/01/2021 09:31:15,326.5,192,5.27137817,8.00162633,00:00:11
6,07/01/2021 09:31:17,326.8,201,5.27137767,8.00162633,00:00:13
7,07/01/2021 09:31:19,327.1,202,5.27138483,8.0016225,00:00:15
8,07/01/2021 09:31:21,326.9,194,5.27138767,8.001618,00:00:17
9,07/01/2021 09:31:23,326.8,199,5.27138983,8.00161117,00:00:19
10,07/01/2021 09:31:25,326.5,206,5.2713945,8.0016035,00:00:20
11,07/01/2021 09:31:27,326.4,209,5.27138433,8.00158933,00:00:24
12,07/01/2021 09:31:29,325.9,213,5.27137783,8.00158233,00:00:26
13,07/01/2021 09:31:31,325.6,217,5.27135883,8.00157617,00:00:28
14,07/01/2021 09:31:33,325.4,215,5.27133933,8.00157083,00:00:30
15,07/01/2021 09:31:35,325.2,212,5.27132017,8.00156567,00:00:32
16,07/01/2021 09:31:37,325,206,5.2713025,8.00155917,00:00:33
17,07/01/2021 09:31:39,324.8,204,5.2712905,8.0015565,00:00:35
18,07/01/2021 09:31:41,324.5,201,5.2712755,8.00155433,00:00:37
19,07/01/2021 09:31:43,324.3,197,5.27126417,8.00155367,00:00:39
20,07/01/2021 09:31:45,324.1,195,5.27124917,8.001557,00:00:41
21,07/01/2021 09:31:47,323.9,196,5.27123567,8.00156033,00:00:43
22,07/01/2021 09:31:49,323.5,194,5.27122817,8.00155967,00:00:44
23,07/01/2021 09:31:51,323.2,191,5.271218,8.00155683,00:00:46
24,07/01/2021 09:31:53,323.1,190,5.271215,8.0015485,00:00:50
25,07/01/2021 09:31:55,323.1,187,5.2712125,8.00154333,00:00:52
26,07/01/2021 09:31:57,323,187,5.271212,8.00154167,00:00:54
27,07/01/2021 09:31:59,322.9,189,5.27121467,8.00154033,00:00:56
28,07/01/2021 09:32:01,322.6,187,5.27122033,8.00153717,00:00:57
29,07/01/2021 09:32:03,322.2,189,5.27122233,8.00153083,00:00:59
30,07/01/2021 09:32:05,322,186,5.27122533,8.00152833,00:01:01
31,07/01/2021 09:32:07,321.8,179,5.27123983,8.00152367,00:01:03
32,07/01/2021 09:32:09,321.6,183,5.2712475,8.00151917,00:01:05
33,07/01/2021 09:32:11,321.3,186,5.2712625,8.001513,00:01:07
34,07/01/2021 09:32:13,320.8,190,5.2712765,8.00150783,00:01:09
35,07/01/2021 09:32:15,320.4,194,5.27128533,8.00150183,00:01:10
36,07/01/2021 09:32:17,320.4,193,5.27128833,8.0014975,00:01:12
37,07/01/2021 09:32:19,320.3,197,5.27129067,8.00149217,00:01:16
38,07/01/2021 09:32:21,320.3,199,5.27129033,8.0014925,00:01:18
39,07/01/2021 09:32:23,320,198,5.27129467,8.00149617,00:01:20
40,07/01/2021 09:32:25,320,200,5.27129733,8.00149667,00:01:22
41,07/01/2021 09:32:27,320,199,5.27130167,8.00149333,00:01:23
42,07/01/2021 09:32:29,319.7,197,5.271298,8.00149333,00:01:25
43,07/01/2021 09:32:31,319.6,197,5.27129467,8.00148733,00:01:27
44,07/01/2021 09:32:33,319.4,195,5.271294,8.00148533,00:01:29
45,07/01/2021 09:32:35,319.2,195,5.27129433,8.00148317,00:01:31
