...1,Sperre_LOG_DATETIME,Sperre_Depth,Sperre_Heading,Survey_ROV_LON,Survey_ROV_LAT,Survey_LOG_RELTIME,synchronized_time_in_video
1,2021-01-07T09:31:07Z,324.8,174,5.27135717,8.001629,00:00:04,00:00:00
2,2021-01-07T09:31:09Z,324.9,164,5.27135883,8.0016285,00:00:06,00:00:02
3,2021-01-07T09:31:11Z,325.2,164,5.27136583,8.00162833,00:00:07,00:00:03
4,2021-01-07T09:31:13Z,325.8,183,5.2713705,8.00162683,00:00:09,00:00:05
5,2021-01-07T09:31:15Z,326.5,192,5.27137817,8.00162633,00:00:11,00:00:07
6,2021-01-07T09:31:17Z,326.8,201,5.27137767,8.00162633,00:00:13,00:00:09
7,2021-01-07T09:31:19Z,327.1,202,5.27138483,8.0016225,00:00:15,00:00:11
8,2021-01-07T09:31:21Z,326.9,194,5.27138767,8.001618,00:00:17,00:00:13
9,2021-01-07T09:31:23Z,326.8,199,5.27138983,8.00161117,00:00:19,00:00:15
10,2021-01-07T09:31:25Z,326.5,206,5.2713945,8.0016035,00:00:20,00:00:16
11,2021-01-07T09:31:27Z,326.4,209,5.27138433,8.00158933,00:00:24,00:00:20
12,2021-01-07T09:31:29Z,325.9,213,5.27137783,8.00158233,00:00:26,00:00:22
13,2021-01-07T09:31:31Z,325.6,217,5.27135883,8.00157617,00:00:28,00:00:24
14,2021-01-07T09:31:33Z,325.4,215,5.27133933,8.00157083,00:00:30,00:00:26
15,2021-01-07T09:31:35Z,325.2,212,5.27132017,8.00156567,00:00:32,00:00:28
16,2021-01-07T09:31:37Z,325,206,5.2713025,8.00155917,00:00:33,00:00:29
17,2021-01-07T09:31:39Z,324.8,204,5.2712905,8.0015565,00:00:35,00:00:31
18,2021-01-07T09:31:41Z,324.5,201,5.2712755,8.00155433,00:00:37,00:00:33
19,2021-01-07T09:31:43Z,324.3,197,5.27126417,8.00155367,00:00:39,00:00:35
20,2021-01-07T09:31:45Z,324.1,195,5.27124917,8.001557,00:00:41,00:00:37
21,2021-01-07T09:31:47Z,323.9,196,5.27123567,8.00156033,00:00:43,00:00:39
22,2021-01-07T09:31:49Z,323.5,194,5.27122817,8.00155967,00:00:44,00:00:40
23,2021-01-07T09:31:51Z,323.2,191,5.271218,8.00155683,00:00:46,00:00:42
24,2021-01-07T09:31:53Z,323.1,190,5.271215,8.0015485,00:00:50,00:00:46
25,2021-01-07T09:31:55Z,323.1,187,5.2712125,8.00154333,00:00:52,00:00:48
26,2021-01-07T09:31:57Z,323,187,5.271212,8.00154167,00:00:54,00:00:50
27,2021-01-07T09:31:59Z,322.9,189,5.27121467,8.00154033,00:00:56,00:00:52
28,2021-01-07T09:32:01Z,322.6,187,5.27122033,8.00153717,00:00:57,00:00:53
29,2021-01-07T09:32:03Z,322.2,189,5.27122233,8.00153083,00:00:59,00:00:55
30,2021-01-07T09:32:05Z,322,186,5.27122533,8.00152833,00:01:01,00:00:57
31,2021-01-07T09:32:07Z,321.8,179,5.27123983,8.00152367,00:01:03,00:00:59
32,2021-01-07T09:32:09Z,321.6,183,5.2712475,8.00151917,00:01:05,00:01:01
33,2021-01-07T09:32:11Z,321.3,186,5.2712625,8.001513,00:01:07,00:01:03
34,2021-01-07T09:32:13Z,320.8,190,5.2712765,8.00150783,00:01:09,00:01:05
35,2021-01-07T09:32:15Z,320.4,194,5.27128533,8.00150183,00:01:10,00:01:06
36,2021-01-07T09:32:17Z,320.4,193,5.27128833,8.0014975,00:01:12,00:01:08
37,2021-01-07T09:32:19Z,320.3,197,5.27129067,8.00149217,00:01:16,00:01:12
38,2021-01-07T09:32:21Z,320.3,199,5.27129033,8.0014925,00:01:18,00:01:14
39,2021-01-07T09:32:23Z,320,198,5.27129467,8.00149617,00:01:20,00:01:16
40,2021-01-07T09:32:25Z,320,200,5.27129733,8.00149667,00:01:22,00:01:18
41,2021-01-07T09:32:27Z,320,199,5.27130167,8.00149333,00:01:23,00:01:19
42,2021-01-07T09:32:29Z,319.7,197,5.271298,8.00149333,00:01:25,00:01:21
43,2021-01-07T09:32:31Z,319.6,197,5.27129467,8.00148733,00:01:27,00:01:23
44,2021-01-07T09:32:33Z,319.4,195,5.271294,8.00148533,00:01:29,00:01:25
45,2021-01-07T09:32:35Z,319.2,195,5.27129433,8.00148317,00:01:31,00:01:27
46,2021-01-07T09:32:37Z,319,193,5.27128617,8.00148117,00:01:33,00:01:29
47,2021-01-07T09:32:39Z,318.8,194,5.27128317,8.00147767,00:01:35,00:01:31
48,2021-01-07T09:32:41Z,318.7,197,5.2712825,8.001481,00:01:36,00:01:32
49,2021-01-07T09:32:43Z,318.5,191,5.27126833,8.00148083,00:01:40,00:01:36
50,2021-01-07T09:32:45Z,318.7,195,5.2712595,8.00148,00:01:42,00:01:38
51,2021-01-07T09:32:47Z,318.9,197,5.271254,8.00147533,00:01:44,00:01:40
52,2021-01-07T09:32:49Z,319.1,196,5.27124617,8.00147583,00:01:46,00:01:42
53,2021-01-07T09:32:51Z,319.5,196,5.271239,8.00147517,00:01:47,00:01:43
54,2021-01-07T09:32:53Z,319.7,198,5.27123117,8.00147483,00:01:49,00:01:45
55,2021-01-07T09:32:55Z,319.9,198,5.27122883,8.00147083,00:01:51,00:01:47
56,2021-01-07T09:32:57Z,320,196,5.27122633,8.00146967,00:01:53,00:01:49
57,2021-01-07T09:32:59Z,320,198,5.27122133,8.001472,00:01:55,00:01:51
58,2021-01-07T09:33:01Z,320.1,198,5.27122183,8.0014725,00:01:57,00:01:53
59,2021-01-07T09:33:03Z,320.1,199,5.27122483,8.0014715,00:01:59,00:01:55
60,2021-01-07T09:33:05Z,320.1,200,5.27122817,8.00147183,00:02:00,00:01:56
61,2021-01-07T09:33:07Z,320.1,200,5.271239,8.00146867,00:02:02,00:01:58
