datetime,videotime,lon,lat,depth,elapsed_seconds,LON2,LAT2,depth_interpolated,videotime_interpolated,xsmoothed,ysmoothed
2021-01-08T08:48:25Z,00:00:02,15.31087767,67.99098117,622.8,0,15.31087767,67.99098117,622.8,0,15.310873519977092,67.99101068197771
2021-01-08T08:48:26Z,NA,NA,NA,NA,NA,15.31087842,67.99098408500001,622.8,1,15.310876548560868,67.99100977683015
2021-01-08T08:48:27Z,00:00:04,15.31087917,67.990987,622.8,2,15.31087917,67.990987,622.8,2,15.310879573972999,67.99100887347538
2021-01-08T08:48:28Z,00:00:06,15.3109035,67.99098833,622.6,3,15.3109035,67.99098833,622.6,3,15.310882598146012,67.99100796885376
2021-01-08T08:48:29Z,NA,NA,NA,NA,NA,15.310904085,67.99098857999999,622.7,4,15.310885623012432,67.99100705990561
2021-01-08T08:48:30Z,00:00:07,15.31090467,67.99098883,622.8,5,15.31090467,67.99098883,622.8,5,15.31088865050478,67.9910061435713
2021-01-08T08:48:31Z,NA,NA,NA,NA,NA,15.310911585,67.990992,622.9,6,15.310891682555594,67.99100521679117
2021-01-08T08:48:32Z,00:00:09,15.3109185,67.99099517,623,7,15.3109185,67.99099517,623,7,15.31089472109739,67.99100427650555
2021-01-08T08:48:33Z,NA,NA,NA,NA,NA,15.310919085,67.9909965,623.05,8,15.3108977680627,67.99100331965484
2021-01-08T08:48:34Z,00:00:11,15.31091967,67.99099783,623.1,9,15.31091967,67.99099783,623.1,9,15.310900825384055,67.99100234317932
2021-01-08T08:48:35Z,NA,NA,NA,NA,NA,15.31090925,67.99100325,623,10,15.310903894993977,67.99100134401937
2021-01-08T08:48:36Z,00:00:15,15.31089883,67.99100867,622.9,11,15.31089883,67.99100867,622.9,11,15.31090697882499,67.99100031911533
2021-01-08T08:48:37Z,NA,NA,NA,NA,NA,15.310900414999999,67.99100917,623,12,15.310910078895706,67.9909992654621
2021-01-08T08:48:38Z,00:00:17,15.310902,67.99100967,623.1,13,15.310902,67.99100967,623.1,13,15.310913197569034,67.9909981802726
2021-01-08T08:48:39Z,NA,NA,NA,NA,NA,15.31090825,67.99100867,623.1,14,15.310916337293976,67.99099706081432
2021-01-08T08:48:40Z,00:00:19,15.3109145,67.99100767,623.1,15,15.3109145,67.99100767,623.1,15,15.310919500519514,67.99099590435479
2021-01-08T08:48:41Z,NA,NA,NA,NA,NA,15.31091275,67.99100492,623.1500000000001,16,15.31092268969465,67.99099470816145
2021-01-08T08:48:42Z,00:00:20,15.310911,67.99100217,623.2,17,15.310911,67.99100217,623.2,17,15.310925907268366,67.99099346950182
2021-01-08T08:48:43Z,NA,NA,NA,NA,NA,15.31091361,67.99100444666666,623.2,18,15.310929155689676,67.99099218564336
2021-01-08T08:48:44Z,NA,NA,NA,NA,NA,15.310916220000001,67.99100672333334,623.2,19,15.310932437407548,67.99099085385357
2021-01-08T08:48:45Z,00:00:22,15.31091883,67.991009,623.2,20,15.31091883,67.991009,623.2,20,15.310935754870991,67.99098947139994
2021-01-08T08:48:46Z,00:00:24,15.31092383,67.99101317,623.1,21,15.31092383,67.99101317,623.1,21,15.310939110528997,67.99098803554998
2021-01-08T08:48:47Z,NA,NA,NA,NA,NA,15.310932415,67.99101317,623.1,22,15.310942506830553,67.99098654357114
2021-01-08T08:48:48Z,00:00:26,15.310941,67.99101317,623.1,23,15.310941,67.99101317,623.1,23,15.310945945553831,67.99098499374571
2021-01-08T08:48:49Z,NA,NA,NA,NA,NA,15.310939999999999,67.99101217,623.1,24,15.310949425793662,67.99098338841519
2021-01-08T08:48:50Z,00:00:28,15.310939,67.99101117,623.1,25,15.310939,67.99101117,623.1,25,15.310952945974062,67.9909817309359
2021-01-08T08:48:51Z,NA,NA,NA,NA,NA,15.310937084999999,67.991008085,623.1,26,15.310956504519044,67.9909800246641
2021-01-08T08:48:52Z,00:00:30,15.31093517,67.991005,623.1,27,15.31093517,67.991005,623.1,27,15.310960099852618,67.99097827295616
2021-01-08T08:48:53Z,NA,NA,NA,NA,NA,15.310939835,67.991000665,623.1,28,15.310963730398791,67.99097647916827
2021-01-08T08:48:54Z,00:00:32,15.3109445,67.99099633,623.1,29,15.3109445,67.99099633,623.1,29,15.310967394581578,67.99097464665682
2021-01-08T08:48:55Z,NA,NA,NA,NA,NA,15.310938335,67.9909925,623.05,30,15.310971090824992,67.99097277877807
2021-01-08T08:48:56Z,00:00:33,15.31093217,67.99098867,623,31,15.31093217,67.99098867,623,31,15.310974817553046,67.99097087888832
2021-01-08T08:48:57Z,NA,NA,NA,NA,NA,15.310938335,67.990984835,623.05,32,15.310978573189741,67.99096895034387
2021-01-08T08:48:58Z,00:00:35,15.3109445,67.990981,623.1,33,15.3109445,67.990981,623.1,33,15.310982356159096,67.99096699650104
2021-01-08T08:48:59Z,NA,NA,NA,NA,NA,15.310947500000001,67.99097625,623.1,34,15.310986163611437,67.99096502125442
2021-01-08T08:49:00Z,00:00:37,15.3109505,67.9909715,623.1,35,15.3109505,67.9909715,623.1,35,15.310989987602358,67.9909630306519
2021-01-08T08:49:01Z,NA,NA,NA,NA,NA,15.310966165,67.990963835,623.1,36,15.310993818913767,67.99096103127967
2021-01-08T08:49:02Z,00:00:41,15.31098183,67.99095617,623.1,37,15.31098183,67.99095617,623.1,37,15.31099764832758,67.99095902972395
2021-01-08T08:49:03Z,NA,NA,NA,NA,NA,15.31099208,67.9909515,623.1,38,15.311001466625704,67.99095703257095
2021-01-08T08:49:04Z,00:00:43,15.31100233,67.99094683,623.1,39,15.31100233,67.99094683,623.1,39,15.31100526459005,67.99095504640687
2021-01-08T08:49:05Z,NA,NA,NA,NA,NA,15.31100983,67.99094416333334,623.1,40,15.311009033002524,67.99095307781789
2021-01-08T08:49:06Z,NA,NA,NA,NA,NA,15.31101733,67.99094149666666,623.1,41,15.311012762645046,67.99095113339027
2021-01-08T08:49:07Z,00:00:45,15.31102483,67.99093883,623.1,42,15.31102483,67.99093883,623.1,42,15.311016444299517,67.99094921971013
2021-01-08T08:49:08Z,00:00:46,15.31105433,67.99093217,623.1,43,15.31105433,67.99093217,623.1,43,15.311020068747855,67.99094734336377
2021-01-08T08:49:09Z,NA,NA,NA,NA,NA,15.31106475,67.99092974999999,623.1500000000001,44,15.311023626771968,67.99094551093731
2021-01-08T08:49:10Z,00:00:48,15.31107517,67.99092733,623.2,45,15.31107517,67.99092733,623.2,45,15.31102711034098,67.99094372828425
2021-01-08T08:49:11Z,NA,NA,NA,NA,NA,15.31107725,67.990921915,623.1500000000001,46,15.311030516172874,67.99094199832707
2021-01-08T08:49:12Z,00:00:50,15.31107933,67.9909165,623.1,47,15.31107933,67.9909165,623.1,47,15.31103384217285,67.99094032325551
2021-01-08T08:49:13Z,NA,NA,NA,NA,NA,15.311083665,67.990914335,623.1,48,15.311037086246106,67.99093870525931
2021-01-08T08:49:14Z,00:00:52,15.311088,67.99091217,623.1,49,15.311088,67.99091217,623.1,49,15.311040246297841,67.99093714652822
2021-01-08T08:49:15Z,NA,NA,NA,NA,NA,15.311090584999999,67.99091133499999,623.1,50,15.311043320233246,67.990935649252
2021-01-08T08:49:16Z,00:00:54,15.31109317,67.9909105,623.1,51,15.31109317,67.9909105,623.1,51,15.311046305957525,67.99093421562036
2021-01-08T08:49:17Z,NA,NA,NA,NA,NA,15.311098,67.990911165,623.2,52,15.31104920137588,67.99093284782302
2021-01-08T08:49:18Z,00:00:56,15.31110283,67.99091183,623.3,53,15.31110283,67.99091183,623.3,53,15.311052004393499,67.99093154804977
2021-01-08T08:49:19Z,NA,NA,NA,NA,NA,15.311099553333333,67.99091155333333,623.2333333333333,54,15.311054712915585,67.99093031849033
2021-01-08T08:49:20Z,NA,NA,NA,NA,NA,15.311096276666666,67.99091127666667,623.1666666666666,55,15.311057324847335,67.99092916133448
2021-01-08T08:49:21Z,00:00:57,15.311093,67.990911,623.1,56,15.311093,67.990911,623.1,56,15.311059839883201,67.99092807802785
2021-01-08T08:49:22Z,00:00:59,15.31109783,67.99091133,623.1,57,15.31109783,67.99091133,623.1,57,15.311062264874629,67.99092706703992
2021-01-08T08:49:23Z,NA,NA,NA,NA,NA,15.311096079999999,67.99091108,623.05,58,15.311064608462319,67.99092612609608
2021-01-08T08:49:24Z,00:01:01,15.31109433,67.99091083,623,59,15.31109433,67.99091083,623,59,15.31106687928697,67.99092525292173
2021-01-08T08:49:25Z,NA,NA,NA,NA,NA,15.311092165,67.99091475,623,60,15.311069085989283,67.99092444524226
2021-01-08T08:49:26Z,00:01:05,15.31109,67.99091867,623,61,15.31109,67.99091867,623,61,15.311071237209958,67.99092370078307
2021-01-08T08:49:27Z,NA,NA,NA,NA,NA,15.311086415,67.990921,623.05,62,15.311073341589696,67.99092301726954
