mtime,Survey_LOG_RELTIME,Survey_ROV_LON,Survey_ROV_LAT,Sperre_LOG_DATETIME,Sperre_Depth,Sperre_Heading,LON2,LAT2,DEPTH2,xsmoothed,ysmoothed
2021-01-07T09:31:07Z,00:00:04,5.27135717,8.001629,2021-01-07T09:31:07Z,324.8,174,5.27135717,8.001629,324.8,5.2713903639994095,8.001638988930834
2021-01-07T09:31:08Z,NA,NA,NA,NA,NA,NA,5.271357999999999,8.00162875,324.85,5.2713890466937885,8.00163677417052
2021-01-07T09:31:09Z,00:00:06,5.27135883,8.0016285,2021-01-07T09:31:09Z,324.9,164,5.27135883,8.0016285,324.9,5.27138775439326,8.001634541062366
2021-01-07T09:31:10Z,NA,NA,NA,NA,NA,NA,5.27136233,8.001628415,325.04999999999995,5.271386468505712,8.001632291192639
2021-01-07T09:31:11Z,00:00:07,5.27136583,8.00162833,2021-01-07T09:31:11Z,325.2,164,5.27136583,8.00162833,325.2,5.271385170439026,8.001630026147604
2021-01-07T09:31:12Z,NA,NA,NA,NA,NA,NA,5.271368165,8.001627580000001,325.5,5.271383841601095,8.001627747513528
2021-01-07T09:31:13Z,00:00:09,5.2713705,8.00162683,2021-01-07T09:31:13Z,325.8,183,5.2713705,8.00162683,325.8,5.2713824633998065,8.001625456876681
2021-01-07T09:31:14Z,NA,NA,NA,NA,NA,NA,5.271374335,8.00162658,326.15,5.271381017243043,8.001623155823319
2021-01-07T09:31:15Z,00:00:11,5.27137817,8.00162633,2021-01-07T09:31:15Z,326.5,192,5.27137817,8.00162633,326.5,5.271379484538696,8.001620845939721
2021-01-07T09:31:16Z,NA,NA,NA,NA,NA,NA,5.27137792,8.00162633,326.65,5.271377846694651,8.00161852881214
2021-01-07T09:31:17Z,00:00:13,5.27137767,8.00162633,2021-01-07T09:31:17Z,326.8,201,5.27137767,8.00162633,326.8,5.271376085118796,8.001616206026853
2021-01-07T09:31:18Z,NA,NA,NA,NA,NA,NA,5.271381249999999,8.001624415,326.95000000000005,5.271374181219018,8.00161387917012
2021-01-07T09:31:19Z,00:00:15,5.27138483,8.0016225,2021-01-07T09:31:19Z,327.1,202,5.27138483,8.0016225,327.1,5.271372116403204,8.001611549828207
2021-01-07T09:31:20Z,NA,NA,NA,NA,NA,NA,5.27138625,8.00162025,327,5.271369872079241,8.001609219587381
2021-01-07T09:31:21Z,00:00:17,5.27138767,8.001618,2021-01-07T09:31:21Z,326.9,194,5.27138767,8.001618,326.9,5.271367429655016,8.001606890033909
2021-01-07T09:31:22Z,NA,NA,NA,NA,NA,NA,5.27138875,8.001614585,326.85,5.2713647705384155,8.001604562754054
2021-01-07T09:31:23Z,00:00:19,5.27138983,8.00161117,2021-01-07T09:31:23Z,326.8,199,5.27138983,8.00161117,326.8,5.27136187613733,8.001602239334083
2021-01-07T09:31:24Z,NA,NA,NA,NA,NA,NA,5.271392165,8.001607335,326.65,5.271358727859645,8.001599921360263
2021-01-07T09:31:25Z,00:00:20,5.2713945,8.0016035,2021-01-07T09:31:25Z,326.5,206,5.2713945,8.0016035,326.5,5.271355314206786,8.001597610557763
2021-01-07T09:31:26Z,NA,NA,NA,NA,NA,NA,5.271389415,8.001596415,326.45,5.27135165205434,8.001595309207374
2021-01-07T09:31:27Z,00:00:24,5.27138433,8.00158933,2021-01-07T09:31:27Z,326.4,209,5.27138433,8.00158933,326.4,5.271347765371437,8.001593019728789
2021-01-07T09:31:28Z,NA,NA,NA,NA,NA,NA,5.271381079999999,8.00158583,326.15,5.271343678127197,8.0015907445417
2021-01-07T09:31:29Z,00:00:26,5.27137783,8.00158233,2021-01-07T09:31:29Z,325.9,213,5.27137783,8.00158233,325.9,5.271339414290752,8.001588486065799
2021-01-07T09:31:30Z,NA,NA,NA,NA,NA,NA,5.27136833,8.001579249999999,325.75,5.271334997831227,8.00158624672078
2021-01-07T09:31:31Z,00:00:28,5.27135883,8.00157617,2021-01-07T09:31:31Z,325.6,217,5.27135883,8.00157617,325.6,5.271330452717748,8.001584028926342
2021-01-07T09:31:32Z,NA,NA,NA,NA,NA,NA,5.27134908,8.0015735,325.5,5.2713258029194385,8.00158183510217
2021-01-07T09:31:33Z,00:00:30,5.27133933,8.00157083,2021-01-07T09:31:33Z,325.4,215,5.27133933,8.00157083,325.4,5.271321072405429,8.001579667667963
2021-01-07T09:31:34Z,NA,NA,NA,NA,NA,NA,5.27132975,8.00156825,325.29999999999995,5.271316285144844,8.001577529043411
2021-01-07T09:31:35Z,00:00:32,5.27132017,8.00156567,2021-01-07T09:31:35Z,325.2,212,5.27132017,8.00156567,325.2,5.271311465106809,8.001575421648212
2021-01-07T09:31:36Z,NA,NA,NA,NA,NA,NA,5.271311335,8.001562419999999,325.1,5.271306636260453,8.001573347902053
2021-01-07T09:31:37Z,00:00:33,5.2713025,8.00155917,2021-01-07T09:31:37Z,325,206,5.2713025,8.00155917,325,5.271301822574903,8.00157131022463
2021-01-07T09:31:38Z,NA,NA,NA,NA,NA,NA,5.2712965,8.001557835,324.9,5.271297048019281,8.001569311035638
2021-01-07T09:31:39Z,00:00:35,5.2712905,8.0015565,2021-01-07T09:31:39Z,324.8,204,5.2712905,8.0015565,324.8,5.271292336562717,8.001567352754773
2021-01-07T09:31:40Z,NA,NA,NA,NA,NA,NA,5.271283,8.001555414999999,324.65,5.271287712174336,8.001565437801721
2021-01-07T09:31:41Z,00:00:37,5.2712755,8.00155433,2021-01-07T09:31:41Z,324.5,201,5.2712755,8.00155433,324.5,5.271283198823262,8.001563568596179
2021-01-07T09:31:42Z,NA,NA,NA,NA,NA,NA,5.271269835,8.001553999999999,324.4,5.271278820478629,8.001561747557842
2021-01-07T09:31:43Z,00:00:39,5.27126417,8.00155367,2021-01-07T09:31:43Z,324.3,197,5.27126417,8.00155367,324.3,5.271274598910188,8.001559975930537
2021-01-07T09:31:44Z,NA,NA,NA,NA,NA,NA,5.27125667,8.001555334999999,324.20000000000005,5.27127054709024,8.001558250254638
2021-01-07T09:31:45Z,00:00:41,5.27124917,8.001557,2021-01-07T09:31:45Z,324.1,195,5.27124917,8.001557,324.1,5.271266675791715,8.001556565894655
2021-01-07T09:31:46Z,NA,NA,NA,NA,NA,NA,5.27124242,8.001558665000001,324,5.271262995787536,8.001554918215104
2021-01-07T09:31:47Z,00:00:43,5.27123567,8.00156033,2021-01-07T09:31:47Z,323.9,196,5.27123567,8.00156033,323.9,5.271259517850639,8.001553302580486
2021-01-07T09:31:48Z,NA,NA,NA,NA,NA,NA,5.27123192,8.001560000000001,323.7,5.27125625275395,8.001551714355314
2021-01-07T09:31:49Z,00:00:44,5.27122817,8.00155967,2021-01-07T09:31:49Z,323.5,194,5.27122817,8.00155967,323.5,5.271253211270399,8.001550148904101
2021-01-07T09:31:50Z,NA,NA,NA,NA,NA,NA,5.271223085,8.00155825,323.35,5.271250404172915,8.001548601591356
2021-01-07T09:31:51Z,00:00:46,5.271218,8.00155683,2021-01-07T09:31:51Z,323.2,191,5.271218,8.00155683,323.2,5.271247842234426,8.001547067781589
2021-01-07T09:31:52Z,NA,NA,NA,NA,NA,NA,5.2712164999999995,8.001552665,323.15,5.271245536227863,8.00154554283931
2021-01-07T09:31:53Z,00:00:50,5.271215,8.0015485,2021-01-07T09:31:53Z,323.1,190,5.271215,8.0015485,323.1,5.2712434969261555,8.001544022129025
2021-01-07T09:31:54Z,NA,NA,NA,NA,NA,NA,5.271213749999999,8.001545915000001,323.1,5.2712417351022305,8.00154250101525
2021-01-07T09:31:55Z,00:00:52,5.2712125,8.00154333,2021-01-07T09:31:55Z,323.1,187,5.2712125,8.00154333,323.1,5.27124026152902,8.001540974862491
2021-01-07T09:31:56Z,NA,NA,NA,NA,NA,NA,5.27121225,8.0015425,323.05,5.271239086979452,8.001539439035263
2021-01-07T09:31:57Z,00:00:54,5.271212,8.00154167,2021-01-07T09:31:57Z,323,187,5.271212,8.00154167,323,5.2712382222264536,8.001537888898069
2021-01-07T09:31:58Z,NA,NA,NA,NA,NA,NA,5.2712133350000006,8.001541,322.95,5.271237678042958,8.001536319815427
