datetime,videotime,lon,lat,depth,elapsed_seconds,LON2,LAT2,depth_interpolated,videotime_interpolated,xsmoothed,ysmoothed
2022-03-01T10:47:10Z,00:00:00,15.2792475,68.02923783,336.4,0,15.2792475,68.02923783,336.4,0,15.279255841978518,68.02926475416682
2022-03-01T10:47:11Z,NA,NA,NA,NA,NA,15.279239915,68.02923858,338.15,1,15.279256601276957,68.0292647021429
2022-03-01T10:47:12Z,00:00:02,15.27923233,68.02923933,339.9,2,15.27923233,68.02923933,339.9,2,15.279257360596576,68.02926465011603
2022-03-01T10:47:13Z,NA,NA,NA,NA,NA,15.27922583,68.029243915,339.25,3,15.279258119855761,68.02926459798888
2022-03-01T10:47:14Z,00:00:04,15.27921933,68.0292485,338.6,4,15.27921933,68.0292485,338.6,4,15.279258878972913,68.02926454566423
2022-03-01T10:47:15Z,NA,NA,NA,NA,NA,15.27921025,68.029248835,337.85,5,15.279259637866419,68.0292644930448
2022-03-01T10:47:16Z,00:00:06,15.27920117,68.02924917,337.1,6,15.27920117,68.02924917,337.1,6,15.279260396454669,68.02926444003326
2022-03-01T10:47:17Z,NA,NA,NA,NA,NA,15.27920442,68.02925217,337.25,7,15.279261154656055,68.0292643865324
2022-03-01T10:47:18Z,00:00:07,15.27920767,68.02925517,337.4,8,15.27920767,68.02925517,337.4,8,15.279261912326985,68.02926433243034
2022-03-01T10:47:19Z,NA,NA,NA,NA,NA,15.279202,68.029255085,337.45,9,15.279262669075912,68.02926427755699
2022-03-01T10:47:20Z,00:00:09,15.27919633,68.029255,337.5,10,15.27919633,68.029255,337.5,10,15.279263424449294,68.02926422172773
2022-03-01T10:47:21Z,NA,NA,NA,NA,NA,15.279200915,68.02925175,340.9,11,15.27926417799359,68.02926416475789
2022-03-01T10:47:22Z,00:00:11,15.2792055,68.0292485,344.3,12,15.2792055,68.0292485,344.3,12,15.279264929255264,68.02926410646282
2022-03-01T10:47:23Z,NA,NA,NA,NA,NA,15.279206835,68.029247415,342.25,13,15.279265677780776,68.02926404665789
2022-03-01T10:47:24Z,00:00:13,15.27920817,68.02924633,340.2,14,15.27920817,68.02924633,340.2,14,15.279266423116592,68.02926398515844
2022-03-01T10:47:25Z,NA,NA,NA,NA,NA,15.27921367,68.029245165,339.54999999999995,15,15.279267164741222,68.02926392176067
2022-03-01T10:47:26Z,00:00:15,15.27921917,68.029244,338.9,16,15.27921917,68.029244,338.9,16,15.279267901861433,68.02926385618429
2022-03-01T10:47:27Z,NA,NA,NA,NA,NA,15.27922342,68.02924491499999,339,17,15.27926863361602,68.02926378812984
2022-03-01T10:47:28Z,00:00:19,15.27922767,68.02924583,339.1,18,15.27922767,68.02924583,339.1,18,15.279269359143798,68.02926371729781
2022-03-01T10:47:29Z,NA,NA,NA,NA,NA,15.279235584999999,68.029248665,339.5,19,15.27927007758357,68.02926364338877
2022-03-01T10:47:30Z,00:00:20,15.2792435,68.0292515,339.9,20,15.2792435,68.0292515,339.9,20,15.279270788074156,68.02926356610328
2022-03-01T10:47:31Z,NA,NA,NA,NA,NA,15.2792575,68.029253085,340.25,21,15.279271489754354,68.02926348514184
2022-03-01T10:47:32Z,00:00:22,15.2792715,68.02925467,340.6,22,15.2792715,68.02925467,340.6,22,15.27927218175014,68.02926340019204
2022-03-01T10:47:33Z,NA,NA,NA,NA,NA,15.2792845,68.029256835,339.70000000000005,23,15.279272863136113,68.02926331088959
2022-03-01T10:47:34Z,00:00:24,15.2792975,68.029259,338.8,24,15.2792975,68.029259,338.8,24,15.279273532974052,68.02926321685729
2022-03-01T10:47:35Z,NA,NA,NA,NA,NA,15.279308584999999,68.029262335,338.45000000000005,25,15.279274190325717,68.0292631177179
2022-03-01T10:47:36Z,00:00:26,15.27931967,68.02926567,338.1,26,15.27931967,68.02926567,338.1,26,15.27927483425288,68.02926301309421
2022-03-01T10:47:37Z,NA,NA,NA,NA,NA,15.2793245,68.02926692,338.1,27,15.279275463817303,68.02926290260892
2022-03-01T10:47:38Z,00:00:28,15.27932933,68.02926817,338.1,28,15.27932933,68.02926817,338.1,28,15.279276078080759,68.02926278588487
2022-03-01T10:47:39Z,NA,NA,NA,NA,NA,15.279333829999999,68.02926941999999,338,29,15.279276676166813,68.02926266255054
2022-03-01T10:47:40Z,00:00:30,15.27933833,68.02927067,337.9,30,15.27933833,68.02927067,337.9,30,15.279277257446228,68.02926253225752
2022-03-01T10:47:41Z,NA,NA,NA,NA,NA,15.27933825,68.02927017,339.45,31,15.279277821351574,68.0292623946631
2022-03-01T10:47:42Z,00:00:32,15.27933817,68.02926967,341,32,15.27933817,68.02926967,341,32,15.279278367315412,68.0292622494246
2022-03-01T10:47:43Z,NA,NA,NA,NA,NA,15.27933667,68.02927167,339.5,33,15.279278894770306,68.02926209619933
2022-03-01T10:47:44Z,00:00:33,15.27933517,68.02927367,338,34,15.27933517,68.02927367,338,34,15.279279403148825,68.02926193464461
2022-03-01T10:47:45Z,NA,NA,NA,NA,NA,15.279333170000001,68.0292745,337.95,35,15.279279891883533,68.02926176441774
2022-03-01T10:47:46Z,00:00:35,15.27933117,68.02927533,337.9,36,15.27933117,68.02927533,337.9,36,15.279280360467144,68.02926158518967
2022-03-01T10:47:47Z,NA,NA,NA,NA,NA,15.279325835000002,68.02927533,337.9,37,15.279280808632986,68.029261396686
2022-03-01T10:47:48Z,00:00:37,15.2793205,68.02927533,337.9,38,15.2793205,68.02927533,337.9,38,15.279281236174548,68.0292611986459
2022-03-01T10:47:49Z,NA,NA,NA,NA,NA,15.279323335,68.02927533,337.9,39,15.279281642885307,68.02926099080864
2022-03-01T10:47:50Z,00:00:39,15.27932617,68.02927533,337.9,40,15.27932617,68.02927533,337.9,40,15.27928202855875,68.02926077291339
2022-03-01T10:47:51Z,NA,NA,NA,NA,NA,15.27932317,68.02927600000001,337.9,41,15.279282392988353,68.0292605446994
2022-03-01T10:47:52Z,00:00:43,15.27932017,68.02927667,337.9,42,15.27932017,68.02927667,337.9,42,15.2792827359676,68.02926030590588
2022-03-01T10:47:53Z,NA,NA,NA,NA,NA,15.279321750000001,68.02927683499999,337.9,43,15.27928305733562,68.02926005629091
2022-03-01T10:47:54Z,00:00:45,15.27932333,68.029277,337.9,44,15.27932333,68.029277,337.9,44,15.279283357114078,68.0292597956881
2022-03-01T10:47:55Z,NA,NA,NA,NA,NA,15.27932483,68.029276165,337.9,45,15.279283635370286,68.02925952394995
2022-03-01T10:47:56Z,00:00:46,15.27932633,68.02927533,337.9,46,15.27932633,68.02927533,337.9,46,15.279283892171554,68.02925924092891
2022-03-01T10:47:57Z,NA,NA,NA,NA,NA,15.27932275,68.0292745,337.85,47,15.279284127585194,68.02925894647751
2022-03-01T10:47:58Z,00:00:48,15.27931917,68.02927367,337.8,48,15.27931917,68.02927367,337.8,48,15.279284341678519,68.02925864044823
2022-03-01T10:47:59Z,NA,NA,NA,NA,NA,15.279317085,68.02927167,338.5,49,15.279284534518842,68.02925832269355
2022-03-01T10:48:00Z,00:00:50,15.279315,68.02926967,339.2,50,15.279315,68.02926967,339.2,50,15.27928470621346,68.02925799308086
2022-03-01T10:48:01Z,NA,NA,NA,NA,NA,15.279316335,68.0292685,338.9,51,15.27928485702965,68.02925765153714
